language,average,stdev,25th percentile,50th percentile,75th percentile
en,8865.33259,15795.152695329683,2192.0,4439.0,9131.0
ceb,5178.09196,6904.785877295796,2340.0,4582.0,5862.0
sv,3312.93614,5014.443470399789,1843.0,2083.0,3293.0
de,6739.25673,12120.271886384633,2145.0,3928.0,7199.0
fr,7566.10867,14769.25888058638,2033.0,3776.0,7552.25
nl,2869.98088,6504.575914372334,801.0,1148.0,2750.25
ru,10923.87673,18903.261887418117,3710.0,6381.0,11291.0
es,7110.01876,12823.422359816363,2006.0,3764.0,7260.0
it,6341.69747,11391.1866638477,1515.0,3051.0,6595.0
pl,5257.73475,10776.013226595587,1793.0,2948.0,5296.0
war,1901.3122,1252.437480422709,1725.0,1896.0,2078.0
vi,3394.4863,9361.554908831942,1181.0,1409.0,2239.0
ja,9865.59485,19576.786586122704,2663.0,4915.0,9741.0
zh,5744.00299,12862.556374454727,1086.0,2278.0,5229.0
pt,6269.85398,12794.896154960943,1513.0,2797.0,6028.0
